date,price,commodity,ticker
2019-01-02,123.5250015258789,Cattle,LE=F
2019-01-03,123.2249984741211,Cattle,LE=F
2019-01-04,121.92500305175781,Cattle,LE=F
2019-01-07,123.19999694824219,Cattle,LE=F
2019-01-08,125.30000305175781,Cattle,LE=F
2019-01-09,124.80000305175781,Cattle,LE=F
2019-01-10,124.875,Cattle,LE=F
2019-01-11,124.9749984741211,Cattle,LE=F
2019-01-14,125.42500305175781,Cattle,LE=F
2019-01-15,126.94999694824219,Cattle,LE=F
2019-01-16,127.82499694824219,Cattle,LE=F
2019-01-17,127.0999984741211,Cattle,LE=F
2019-01-18,126.5250015258789,Cattle,LE=F
2019-01-22,125.125,Cattle,LE=F
2019-01-23,125.55000305175781,Cattle,LE=F
2019-01-24,125.3499984741211,Cattle,LE=F
2019-01-25,126.05000305175781,Cattle,LE=F
2019-01-28,126.4000015258789,Cattle,LE=F
2019-01-29,126.4749984741211,Cattle,LE=F
2019-01-30,126.1500015258789,Cattle,LE=F
2019-01-31,124.80000305175781,Cattle,LE=F
2019-02-01,125.44999694824219,Cattle,LE=F
2019-02-04,125.7249984741211,Cattle,LE=F
2019-02-05,126.69999694824219,Cattle,LE=F
2019-02-06,126.4000015258789,Cattle,LE=F
2019-02-07,126.30000305175781,Cattle,LE=F
2019-02-08,127.375,Cattle,LE=F
2019-02-11,127.82499694824219,Cattle,LE=F
2019-02-12,126.82499694824219,Cattle,LE=F
2019-02-13,125.94999694824219,Cattle,LE=F
2019-02-14,126.125,Cattle,LE=F
2019-02-15,126.625,Cattle,LE=F
2019-02-19,127.875,Cattle,LE=F
2019-02-20,128.3249969482422,Cattle,LE=F
2019-02-21,127.625,Cattle,LE=F
2019-02-22,128.6750030517578,Cattle,LE=F
2019-02-25,128.5500030517578,Cattle,LE=F
2019-02-26,129.5749969482422,Cattle,LE=F
2019-02-27,129.39999389648438,Cattle,LE=F
2019-02-28,129.9499969482422,Cattle,LE=F
2019-03-01,129.5500030517578,Cattle,LE=F
2019-03-04,128.35000610351563,Cattle,LE=F
2019-03-05,128.8249969482422,Cattle,LE=F
2019-03-06,128.89999389648438,Cattle,LE=F
2019-03-07,128.9499969482422,Cattle,LE=F
2019-03-08,129.6750030517578,Cattle,LE=F
2019-03-11,129,Cattle,LE=F
2019-03-12,126.6500015258789,Cattle,LE=F
2019-03-13,126.67500305175781,Cattle,LE=F
2019-03-14,127.4000015258789,Cattle,LE=F
2019-03-15,129.10000610351563,Cattle,LE=F
2019-03-18,128.3249969482422,Cattle,LE=F
2019-03-19,129.125,Cattle,LE=F
2019-03-20,129.5749969482422,Cattle,LE=F
2019-03-21,129.89999389648438,Cattle,LE=F
2019-03-22,129.72500610351563,Cattle,LE=F
2019-03-25,127.57499694824219,Cattle,LE=F
2019-03-26,126.9000015258789,Cattle,LE=F
2019-03-27,126.25,Cattle,LE=F
2019-03-28,126.5250015258789,Cattle,LE=F
2019-03-29,125.69999694824219,Cattle,LE=F
2019-04-01,126.17500305175781,Cattle,LE=F
2019-04-02,126.2750015258789,Cattle,LE=F
2019-04-03,125.7750015258789,Cattle,LE=F
2019-04-04,127.55000305175781,Cattle,LE=F
2019-04-05,126.05000305175781,Cattle,LE=F
2019-04-08,125.80000305175781,Cattle,LE=F
2019-04-09,125.9000015258789,Cattle,LE=F
2019-04-10,125.875,Cattle,LE=F
2019-04-11,126,Cattle,LE=F
2019-04-12,126.55000305175781,Cattle,LE=F
2019-04-15,126.30000305175781,Cattle,LE=F
2019-04-16,127.1500015258789,Cattle,LE=F
2019-04-17,126.92500305175781,Cattle,LE=F
2019-04-18,128.52499389648438,Cattle,LE=F
2019-04-22,128.5,Cattle,LE=F
2019-04-23,128.3249969482422,Cattle,LE=F
2019-04-24,126.7750015258789,Cattle,LE=F
2019-04-25,124.05000305175781,Cattle,LE=F
2019-04-26,124.55000305175781,Cattle,LE=F
2019-04-29,124.7750015258789,Cattle,LE=F
2019-04-30,123.75,Cattle,LE=F
2019-05-01,113.875,Cattle,LE=F
2019-05-02,113.67500305175781,Cattle,LE=F
2019-05-03,113.42500305175781,Cattle,LE=F
2019-05-06,112.2750015258789,Cattle,LE=F
2019-05-07,112.2750015258789,Cattle,LE=F
2019-05-08,111.07499694824219,Cattle,LE=F
2019-05-09,111.94999694824219,Cattle,LE=F
2019-05-10,112.44999694824219,Cattle,LE=F
2019-05-13,109.75,Cattle,LE=F
2019-05-14,109.5,Cattle,LE=F
